ext,group,agr,con,neg,ope
3.583333333,control,2.833333333,4.166666667,3.916666667,4.833333333
3.166666667,control,3.333333333,3.25,3.083333333,3.75
3.75,control,4,4.5,3.416666667,4.333333333
NA,control,NA,NA,NA,NA
4.083333333,control,3.583333333,3.833333333,3.166666667,4
3.583333333,control,3.5,3.916666667,2.5,4.833333333
NA,control,NA,NA,NA,NA
NA,control,NA,NA,NA,NA
3.916666667,control,2.5,3.25,2.333333333,2.5
4.75,control,3.25,3.166666667,4.333333333,4.666666667
3,control,4,4.583333333,1.916666667,4.916666667
3.5,control,4.25,4.833333333,3.5,4.25
NA,control,NA,NA,NA,NA
3.333333333,control,4.75,3.416666667,1.666666667,3.916666667
NA,control,NA,NA,NA,NA
2.583333333,control,4.75,4.5,3.333333333,4.583333333
2.416666667,control,3.583333333,4.416666667,2.5,3.666666667
3.25,control,3.916666667,3.5,3.583333333,4.416666667
NA,control,NA,NA,NA,NA
2.416666667,control,3.416666667,2.583333333,3.333333333,3.083333333
2.75,control,3.5,2.75,2.916666667,2.916666667
NA,control,NA,NA,NA,NA
2.666666667,control,3.666666667,3.5,4.833333333,2.833333333
4.25,control,4.75,3.166666667,1.416666667,4.25
NA,control,NA,NA,NA,NA
3.666666667,control,4.166666667,4.916666667,2.166666667,4.5
3.416666667,control,4.666666667,5,2.583333333,4.25
NA,control,NA,NA,NA,NA
NA,control,NA,NA,NA,NA
3.5,control,3.333333333,3.333333333,1.75,3.333333333
4.083333333,control,4.5,4.5,1.916666667,4.75
4.083333333,control,3.166666667,3.166666667,2.333333333,4.666666667
3,control,4.166666667,2.75,4.416666667,3.583333333
3.666666667,control,2.916666667,3.916666667,3.333333333,4.416666667
NA,control,NA,NA,NA,NA
2.833333333,control,3.25,4.583333333,2.083333333,3.666666667
NA,control,NA,NA,NA,NA
4.083333333,control,4.416666667,2.75,3.75,4.666666667
3.083333333,control,4.166666667,3.75,3.083333333,4.833333333
NA,control,NA,NA,NA,NA
NA,control,NA,NA,NA,NA
2.5,control,3.333333333,3.75,2.083333333,2.916666667
3.166666667,control,3.833333333,4.583333333,2.166666667,2.583333333
NA,control,NA,NA,NA,NA
2.416666667,control,4.25,3.333333333,3.583333333,4.666666667
NA,control,NA,NA,NA,NA
NA,control,NA,NA,NA,NA
3.916666667,control,4,4.583333333,2.666666667,4.833333333
1.333333333,control,3.5,2.916666667,4.833333333,3.5
3.416666667,control,3.75,4.416666667,2.083333333,3.75
NA,control,NA,NA,NA,NA
3.916666667,control,2.166666667,3.333333333,2.333333333,3.333333333
