ext_tot,agr_tot,con_tot,neg_tot,ope_tot,health_tot,work_tot,gpa,age,gender
NA,NA,NA,NA,NA,3.3076923076923075,2.8823529411764706,NA,25,Woman
3,2.8333333333333335,3.25,2.25,2.8333333333333335,3.923076923076923,3.823529411764706,3.52,25,Woman
3.6666666666666665,3.5,3.75,3.0833333333333335,3.1666666666666665,3.076923076923077,2.588235294117647,3.89,21,Woman
3.3333333333333335,3.4166666666666665,3.3333333333333335,2.5833333333333335,3.3333333333333335,3.3461538461538463,NA,3.8,20,Woman
NA,NA,NA,NA,NA,3.6923076923076925,3.6470588235294117,2.9,23,Woman
3.3333333333333335,4.166666666666667,3.5833333333333335,2.9166666666666665,4.166666666666667,3.8461538461538463,3.588235294117647,4,21,Nobinary or genderqueer
3.3333333333333335,3.6666666666666665,2.75,3.3333333333333335,3,3.730769230769231,4.411764705882353,3.4,20,Woman
NA,NA,NA,NA,NA,3.576923076923077,2.3529411764705883,3.1,19,Man
NA,NA,NA,NA,NA,3.576923076923077,3.5294117647058822,3.5,23,Woman
3.25,3.9166666666666665,3.4166666666666665,2.9166666666666665,3.5,3.576923076923077,4.117647058823529,3.3,18,Woman
NA,NA,NA,NA,NA,3.230769230769231,2.9411764705882355,4,18,Woman
NA,NA,NA,NA,NA,3.423076923076923,3.588235294117647,3.75,19,Woman
2.25,4.25,4.25,3.6666666666666665,3.6666666666666665,3.8461538461538463,2.411764705882353,3.81,19,Woman
3.3333333333333335,4.333333333333333,4.25,2.5,4.75,3.1923076923076925,3.9411764705882355,3.59,19,Woman
NA,NA,NA,NA,NA,3.6153846153846154,3.8823529411764706,3.8,19,Woman
3.8333333333333335,3.9166666666666665,4.25,2.25,4.25,4.384615384615385,3.6470588235294117,4,18,Woman
NA,NA,NA,NA,NA,3.730769230769231,4.0588235294117645,3.9,19,Man
4,4.333333333333333,4.416666666666667,2.4166666666666665,3.6666666666666665,3.8846153846153846,4.411764705882353,3.9,18,Woman
NA,NA,NA,NA,NA,3.3076923076923075,3.764705882352941,3.78,31,Woman
3.25,3.6666666666666665,3.4166666666666665,1.6666666666666667,3.0833333333333335,3.6153846153846154,3.2941176470588234,4,20,Woman
NA,NA,NA,NA,NA,3.6923076923076925,3.6470588235294117,4,20,Woman
NA,NA,NA,NA,NA,2.769230769230769,2.7058823529411766,3.89,18,Woman
NA,NA,NA,NA,NA,2.8461538461538463,3.176470588235294,3.98,19,Woman
NA,NA,NA,NA,NA,4.038461538461538,2.235294117647059,3.6,22,Woman
NA,NA,NA,NA,NA,4.384615384615385,4.294117647058823,3.1,23,Woman
NA,NA,NA,NA,NA,3.8076923076923075,4,3.66,19,Woman
3.0833333333333335,2.6666666666666665,3.8333333333333335,1.75,3.0833333333333335,3.230769230769231,3.764705882352941,3.95,19,Man
NA,NA,NA,NA,NA,2.769230769230769,3.4705882352941178,3.35,20,Woman
NA,NA,NA,NA,NA,3.6538461538461537,2.2941176470588234,3.3,20,Woman
2.75,3.5833333333333335,3.0833333333333335,3,3.3333333333333335,3.5,2.3529411764705883,3.35,20,Woman
NA,NA,NA,NA,NA,4.076923076923077,4.294117647058823,3.7,37,Woman
NA,NA,NA,NA,NA,NA,2.1176470588235294,3.4,18,Woman
NA,NA,NA,NA,NA,4.153846153846154,4.647058823529412,2.74,22,Woman
3,2.5833333333333335,4.583333333333333,2.6666666666666665,3,3.269230769230769,3.5294117647058822,3.5,18,Woman
3.4166666666666665,3.5,3.5,1.9166666666666667,2.9166666666666665,3.6538461538461537,4.411764705882353,3.5,20,Woman
NA,NA,NA,NA,NA,4.384615384615385,3.8823529411764706,3.7,20,Woman
NA,NA,NA,NA,NA,2.8461538461538463,4.235294117647059,3.6,26,Woman
4.166666666666667,3.75,3.0833333333333335,2.5833333333333335,3.25,3.6923076923076925,4.352941176470588,3,18,Woman
2.3333333333333335,3.5,3,2.6666666666666665,2.8333333333333335,3.1538461538461537,3.4705882352941178,3.4,21,Woman
2.75,3.5833333333333335,3.25,3,2.6666666666666665,3.923076923076923,3.7058823529411766,3.1,18,Woman
