Item,Content,Options,Keying
BFI-2,,,
ext1,Tends to be quiet,"1-5; SD, D, NAD, A, SA",-1
ext2,Is talkative,"1-5; SD, D, NAD, A, SA",1
ext3,"Is outgoing, sociable","1-5; SD, D, NAD, A, SA",1
ext4,"Is sometimes shy, introverted","1-5; SD, D, NAD, A, SA",-1
ext5,"Is dominant, acts as a leader","1-5; SD, D, NAD, A, SA",1
ext6,Has an assertive personality,"1-5; SD, D, NAD, A, SA",1
ext7,Prefers to have others take charge,"1-5; SD, D, NAD, A, SA",-1
ext8,Finds it hard to influence people,"1-5; SD, D, NAD, A, SA",-1
ext9,Is full of energy,"1-5; SD, D, NAD, A, SA",1
ext10,Shows a lot of enthusiasm,"1-5; SD, D, NAD, A, SA",1
ext11,Rarely feels excited or eager,"1-5; SD, D, NAD, A, SA",-1
ext12,Is less active than other people,"1-5; SD, D, NAD, A, SA",-1
agr1,"Is compassionate, has a soft heart","1-5; SD, D, NAD, A, SA",1
agr2,Can be cold and uncaring,"1-5; SD, D, NAD, A, SA",-1
agr3,Is helpful and unselfish with others,"1-5; SD, D, NAD, A, SA",1
agr4,Feels little sympathy for others,"1-5; SD, D, NAD, A, SA",-1
agr5,"Is respectful, treats others with respect","1-5; SD, D, NAD, A, SA",1
agr6,"Is polite, courteous to others","1-5; SD, D, NAD, A, SA",1
agr7,Is sometimes rude to others,"1-5; SD, D, NAD, A, SA",-1
agr8,Starts arguments with others,"1-5; SD, D, NAD, A, SA",-1
agr9,Assumes the best about people,"1-5; SD, D, NAD, A, SA",1
agr10,Has a forgiving nature,"1-5; SD, D, NAD, A, SA",1
agr11,Tends to find fault with others,"1-5; SD, D, NAD, A, SA",-1
agr12,Is suspicious of others’ intentions,"1-5; SD, D, NAD, A, SA",-1
con1,Tends to be disorganized,"1-5; SD, D, NAD, A, SA",-1
con2,"Is systematic, likes to keep things in order","1-5; SD, D, NAD, A, SA",1
con3,Keeps things neat and tidy,"1-5; SD, D, NAD, A, SA",1
con4,"Leaves a mess, doesn’t clean up","1-5; SD, D, NAD, A, SA",-1
con5,"Is efficient, gets things done","1-5; SD, D, NAD, A, SA",1
con6,"Is persistent, works until the task is finished","1-5; SD, D, NAD, A, SA",1
con7,Tends to be lazy,"1-5; SD, D, NAD, A, SA",-1
con8,Has difficulty getting started on tasks,"1-5; SD, D, NAD, A, SA",-1
con9,Can be somewhat careless,"1-5; SD, D, NAD, A, SA",-1
con10,Sometimes behaves irresponsibly,"1-5; SD, D, NAD, A, SA",-1
con11,"Is reliable, can always be counted on","1-5; SD, D, NAD, A, SA",1
con12,"Is dependable, steady","1-5; SD, D, NAD, A, SA",1
neg1,"Is relaxed, handles stress well","1-5; SD, D, NAD, A, SA",-1
neg2,Worries a lot,"1-5; SD, D, NAD, A, SA",1
neg3,Rarely feels anxious or afraid,"1-5; SD, D, NAD, A, SA",-1
neg4,Can be tense,"1-5; SD, D, NAD, A, SA",1
neg5,Often feels sad,"1-5; SD, D, NAD, A, SA",1
neg6,"Tends to feel depressed, blue","1-5; SD, D, NAD, A, SA",1
neg7,"Feels secure, comfortable with self","1-5; SD, D, NAD, A, SA",-1
neg8,Stays optimistic after experiencing a setback,"1-5; SD, D, NAD, A, SA",-1
neg9,"Is emotionally stable, not easily upset","1-5; SD, D, NAD, A, SA",-1
neg10,"Is temperamental, gets emotional easily","1-5; SD, D, NAD, A, SA",1
neg11,Keeps emotions under control,"1-5; SD, D, NAD, A, SA",-1
neg12,"Is moody, has up and down mood swings","1-5; SD, D, NAD, A, SA",1
ope1,Has little interest in abstract ideas,"1-5; SD, D, NAD, A, SA",-1
ope2,"Is complex, a deep thinker","1-5; SD, D, NAD, A, SA",1
ope3,"Avoids intellectual, philosophical discussions","1-5; SD, D, NAD, A, SA",-1
ope4,Is curious about many different things,"1-5; SD, D, NAD, A, SA",1
ope5,"Is fascinated by art, music, or literature","1-5; SD, D, NAD, A, SA",1
ope6,Has few artistic interests,"1-5; SD, D, NAD, A, SA",-1
ope7,Values art and beauty,"1-5; SD, D, NAD, A, SA",1
ope8,Thinks poetry and plays are boring,"1-5; SD, D, NAD, A, SA",-1
ope9,Has little creativity,"1-5; SD, D, NAD, A, SA",-1
ope10,"Is inventive, finds clever ways to do things","1-5; SD, D, NAD, A, SA",1
