Item,Keying
ext1,-1
ext2,1
ext3,1
ext4,-1
ext5,1
ext6,1
ext7,-1
ext8,-1
ext9,1
ext10,1
ext11,-1
ext12,-1
agr1,1
agr2,-1
agr3,1
agr4,-1
agr5,1
agr6,1
agr7,-1
agr8,-1
agr9,1
agr10,1
agr11,-1
agr12,-1
con1,-1
con2,1
con3,1
con4,-1
con5,1
con6,1
con7,-1
con8,-1
con9,-1
con10,-1
con11,1
con12,1
neg1,-1
neg2,1
neg3,-1
neg4,1
neg5,1
neg6,1
neg7,-1
neg8,-1
neg9,-1
neg10,1
neg11,-1
neg12,1
ope1,-1
ope2,1
ope3,-1
ope4,1
ope5,1
ope6,-1
ope7,1
ope8,-1
ope9,-1
ope10,1
ope11,1
ope12,-1
health1,1
health2,1
health3,1
health4,1
health5,1
health6,1
health7,1
health8,1
health9,1
health10,1
health11,1
health12,1
health13,1
health14,1
health15,1
health16,1
health17,-1
health18,-1
health19,-1
health20,-1
health21,1
health22,-1
health23,-1
health24,1
health25,1
health26,1
work1,1
work2,1
work3,1
work4,1
work5,1
work6,1
work7,1
work8,1
work9,1
work10,1
work11,1
work12,1
work13,1
work14,1
work15,1
work16,1
work17,1
